filename,cure_sign,gtsrb_true,ch_id,ch_name,sev,pred,prob,correct
01_03_00_00_0001.bmp,3,9,0,ChallengeFree,0,13,0.349956,0
01_03_00_00_0002.bmp,3,9,0,ChallengeFree,0,13,0.345494,0
01_03_00_00_0003.bmp,3,9,0,ChallengeFree,0,13,0.60924,0
01_03_00_00_0004.bmp,3,9,0,ChallengeFree,0,13,0.516566,0
01_03_00_00_0005.bmp,3,9,0,ChallengeFree,0,13,0.210878,0
01_03_00_00_0006.bmp,3,9,0,ChallengeFree,0,13,0.37413,0
01_03_00_00_0007.bmp,3,9,0,ChallengeFree,0,13,0.67035,0
01_03_00_00_0008.bmp,3,9,0,ChallengeFree,0,13,0.79149,0
01_03_00_00_0009.bmp,3,9,0,ChallengeFree,0,13,0.781113,0
01_03_00_00_0010.bmp,3,9,0,ChallengeFree,0,13,0.642552,0
01_03_00_00_0011.bmp,3,9,0,ChallengeFree,0,13,0.735789,0
01_03_00_00_0012.bmp,3,9,0,ChallengeFree,0,13,0.57654,0
01_03_00_00_0013.bmp,3,9,0,ChallengeFree,0,13,0.745618,0
01_03_00_00_0014.bmp,3,9,0,ChallengeFree,0,13,0.186673,0
01_03_00_00_0015.bmp,3,9,0,ChallengeFree,0,13,0.341224,0
01_03_00_00_0016.bmp,3,9,0,ChallengeFree,0,15,0.364194,0
01_03_00_00_0017.bmp,3,9,0,ChallengeFree,0,15,0.409639,0
01_03_00_00_0018.bmp,3,9,0,ChallengeFree,0,15,0.370354,0
01_03_00_00_0019.bmp,3,9,0,ChallengeFree,0,15,0.604627,0
01_03_00_00_0020.bmp,3,9,0,ChallengeFree,0,15,0.509223,0
01_03_00_00_0021.bmp,3,9,0,ChallengeFree,0,15,0.606452,0
01_03_00_00_0022.bmp,3,9,0,ChallengeFree,0,15,0.371306,0
01_03_00_00_0023.bmp,3,9,0,ChallengeFree,0,15,0.251167,0
01_03_00_00_0024.bmp,3,9,0,ChallengeFree,0,15,0.240064,0
01_03_00_00_0025.bmp,3,9,0,ChallengeFree,0,15,0.276764,0
01_03_00_00_0026.bmp,3,9,0,ChallengeFree,0,15,0.561796,0
01_03_00_00_0027.bmp,3,9,0,ChallengeFree,0,15,0.6263,0
01_03_00_00_0028.bmp,3,9,0,ChallengeFree,0,15,0.644012,0
01_03_00_00_0029.bmp,3,9,0,ChallengeFree,0,15,0.478183,0
01_03_00_00_0030.bmp,3,9,0,ChallengeFree,0,15,0.511227,0
01_03_00_00_0031.bmp,3,9,0,ChallengeFree,0,15,0.472896,0
01_03_00_00_0032.bmp,3,9,0,ChallengeFree,0,15,0.487621,0
01_03_00_00_0033.bmp,3,9,0,ChallengeFree,0,15,0.620947,0
01_03_00_00_0034.bmp,3,9,0,ChallengeFree,0,15,0.736087,0
01_03_00_00_0035.bmp,3,9,0,ChallengeFree,0,15,0.617415,0
01_03_00_00_0036.bmp,3,9,0,ChallengeFree,0,15,0.372499,0
01_03_00_00_0037.bmp,3,9,0,ChallengeFree,0,15,0.587804,0
01_03_00_00_0038.bmp,3,9,0,ChallengeFree,0,15,0.543203,0
01_03_00_00_0039.bmp,3,9,0,ChallengeFree,0,15,0.883393,0
01_03_00_00_0040.bmp,3,9,0,ChallengeFree,0,15,0.816996,0
01_03_00_00_0041.bmp,3,9,0,ChallengeFree,0,15,0.777878,0
01_03_00_00_0042.bmp,3,9,0,ChallengeFree,0,15,0.699843,0
01_03_00_00_0043.bmp,3,9,0,ChallengeFree,0,15,0.491317,0
01_03_00_00_0044.bmp,3,9,0,ChallengeFree,0,15,0.394852,0
01_03_00_00_0045.bmp,3,9,0,ChallengeFree,0,15,0.568966,0
01_03_00_00_0046.bmp,3,9,0,ChallengeFree,0,15,0.709095,0
01_03_00_00_0047.bmp,3,9,0,ChallengeFree,0,15,0.631733,0
01_03_00_00_0048.bmp,3,9,0,ChallengeFree,0,15,0.651692,0
01_03_00_00_0049.bmp,3,9,0,ChallengeFree,0,15,0.731474,0
01_03_00_00_0050.bmp,3,9,0,ChallengeFree,0,15,0.761263,0
01_03_00_00_0051.bmp,3,9,0,ChallengeFree,0,15,0.737944,0
01_03_00_00_0052.bmp,3,9,0,ChallengeFree,0,15,0.802031,0
01_03_00_00_0053.bmp,3,9,0,ChallengeFree,0,15,0.576321,0
01_03_00_00_0054.bmp,3,9,0,ChallengeFree,0,15,0.587329,0
01_03_00_00_0055.bmp,3,9,0,ChallengeFree,0,15,0.554325,0
01_03_00_00_0056.bmp,3,9,0,ChallengeFree,0,15,0.418381,0
01_03_00_00_0057.bmp,3,9,0,ChallengeFree,0,15,0.403084,0
01_03_00_00_0058.bmp,3,9,0,ChallengeFree,0,15,0.244466,0
01_03_00_00_0059.bmp,3,9,0,ChallengeFree,0,9,0.257995,1
01_03_00_00_0060.bmp,3,9,0,ChallengeFree,0,9,0.313674,1
01_03_00_00_0061.bmp,3,9,0,ChallengeFree,0,15,0.278699,0
01_03_00_00_0062.bmp,3,9,0,ChallengeFree,0,9,0.240299,1
01_03_00_00_0063.bmp,3,9,0,ChallengeFree,0,9,0.226251,1
01_03_00_00_0064.bmp,3,9,0,ChallengeFree,0,15,0.332285,0
01_03_00_00_0065.bmp,3,9,0,ChallengeFree,0,15,0.487108,0
01_03_00_00_0066.bmp,3,9,0,ChallengeFree,0,15,0.266124,0
01_03_00_00_0067.bmp,3,9,0,ChallengeFree,0,15,0.646267,0
01_03_00_00_0068.bmp,3,9,0,ChallengeFree,0,15,0.465041,0
01_03_00_00_0069.bmp,3,9,0,ChallengeFree,0,15,0.466366,0
01_03_00_00_0070.bmp,3,9,0,ChallengeFree,0,41,0.252372,0
01_03_00_00_0071.bmp,3,9,0,ChallengeFree,0,15,0.233873,0
01_03_00_00_0072.bmp,3,9,0,ChallengeFree,0,15,0.247197,0
01_03_00_00_0073.bmp,3,9,0,ChallengeFree,0,15,0.23442,0
01_03_00_00_0074.bmp,3,9,0,ChallengeFree,0,41,0.201913,0
01_03_00_00_0075.bmp,3,9,0,ChallengeFree,0,15,0.204761,0
01_03_00_00_0076.bmp,3,9,0,ChallengeFree,0,15,0.19811,0
01_03_00_00_0077.bmp,3,9,0,ChallengeFree,0,9,0.221702,1
01_03_00_00_0078.bmp,3,9,0,ChallengeFree,0,9,0.221571,1
01_03_00_00_0079.bmp,3,9,0,ChallengeFree,0,9,0.190389,1
01_03_00_00_0080.bmp,3,9,0,ChallengeFree,0,15,0.214794,0
01_03_00_00_0081.bmp,3,9,0,ChallengeFree,0,9,0.136486,1
01_03_00_00_0082.bmp,3,9,0,ChallengeFree,0,15,0.215182,0
01_03_00_00_0083.bmp,3,9,0,ChallengeFree,0,15,0.143582,0
01_03_00_00_0084.bmp,3,9,0,ChallengeFree,0,9,0.203127,1
01_03_00_00_0085.bmp,3,9,0,ChallengeFree,0,9,0.165535,1
01_03_04_01_0001.bmp,3,9,4,Darkening,1,13,0.325593,0
01_03_04_01_0002.bmp,3,9,4,Darkening,1,13,0.38446,0
01_03_04_01_0003.bmp,3,9,4,Darkening,1,13,0.341051,0
01_03_04_01_0004.bmp,3,9,4,Darkening,1,13,0.256145,0
01_03_04_01_0005.bmp,3,9,4,Darkening,1,13,0.395603,0
